"id","datetime","store","weekday","sales","products_sold","clientes_that_bought","half_hour","year","month","dia"
301,2020-03-30 08:30:00,274,monday,180,47,14,17,2020,3,30
302,2020-03-30 09:00:00,274,monday,803,174,15,18,2020,3,30
303,2020-03-30 09:30:00,274,monday,339,85,12,19,2020,3,30
304,2020-03-30 10:00:00,274,monday,1432,283,19,20,2020,3,30
305,2020-03-30 10:30:00,274,monday,941,170,15,21,2020,3,30
306,2020-03-30 11:00:00,274,monday,1184,250,17,22,2020,3,30
307,2020-03-30 11:30:00,274,monday,1106,241,29,23,2020,3,30
308,2020-03-30 12:00:00,274,monday,1410,245,25,24,2020,3,30
309,2020-03-30 12:30:00,274,monday,1752,419,28,25,2020,3,30
310,2020-03-30 13:00:00,274,monday,655,132,16,26,2020,3,30
311,2020-03-30 13:30:00,274,monday,628,140,18,27,2020,3,30
312,2020-03-30 14:00:00,274,monday,1062,229,13,28,2020,3,30
313,2020-03-30 14:30:00,274,monday,1384,322,20,29,2020,3,30
314,2020-03-30 15:00:00,274,monday,1237,274,32,30,2020,3,30
315,2020-03-30 15:30:00,274,monday,1169,244,20,31,2020,3,30
316,2020-03-30 16:00:00,274,monday,1421,253,16,32,2020,3,30
317,2020-03-30 16:30:00,274,monday,1110,246,21,33,2020,3,30
318,2020-03-30 17:00:00,274,monday,2281,521,25,34,2020,3,30
319,2020-03-30 17:30:00,274,monday,1908,395,28,35,2020,3,30
320,2020-03-30 18:00:00,274,monday,1274,264,18,36,2020,3,30
321,2020-03-30 18:30:00,274,monday,1689,364,22,37,2020,3,30
322,2020-03-30 19:00:00,274,monday,402,98,11,38,2020,3,30
323,2020-03-30 19:30:00,274,monday,1919,338,22,39,2020,3,30
324,2020-03-30 20:00:00,274,monday,705,137,13,40,2020,3,30
325,2020-03-30 20:30:00,274,monday,342,85,10,41,2020,3,30
326,2020-03-31 08:30:00,274,tuesday,442,76,19,17,2020,3,31
327,2020-03-31 09:00:00,274,tuesday,1288,276,22,18,2020,3,31
328,2020-03-31 09:30:00,274,tuesday,1646,291,18,19,2020,3,31
329,2020-03-31 10:00:00,274,tuesday,602,127,13,20,2020,3,31
330,2020-03-31 10:30:00,274,tuesday,1241,253,23,21,2020,3,31
331,2020-03-31 11:00:00,274,tuesday,1439,296,29,22,2020,3,31
332,2020-03-31 11:30:00,274,tuesday,1372,292,22,23,2020,3,31
333,2020-03-31 12:00:00,274,tuesday,1373,273,22,24,2020,3,31
334,2020-03-31 12:30:00,274,tuesday,927,167,16,25,2020,3,31
335,2020-03-31 13:00:00,274,tuesday,1173,242,21,26,2020,3,31
336,2020-03-31 13:30:00,274,tuesday,1601,334,19,27,2020,3,31
337,2020-03-31 14:00:00,274,tuesday,2259,420,22,28,2020,3,31
338,2020-03-31 14:30:00,274,tuesday,1909,424,21,29,2020,3,31
339,2020-03-31 15:00:00,274,tuesday,609,130,10,30,2020,3,31
340,2020-03-31 15:30:00,274,tuesday,913,214,22,31,2020,3,31
341,2020-03-31 16:00:00,274,tuesday,928,217,19,32,2020,3,31
342,2020-03-31 16:30:00,274,tuesday,1457,268,22,33,2020,3,31
343,2020-03-31 17:00:00,274,tuesday,1404,294,22,34,2020,3,31
344,2020-03-31 17:30:00,274,tuesday,2458,531,26,35,2020,3,31
345,2020-03-31 18:00:00,274,tuesday,1772,355,24,36,2020,3,31
346,2020-03-31 18:30:00,274,tuesday,855,160,17,37,2020,3,31
