,ds,y
274,2015-01-16 11:45:00,9.0
275,2015-01-16 12:00:00,15.0
276,2015-01-16 12:15:00,5.0
277,2015-01-16 12:30:00,10.0
278,2015-01-16 12:45:00,4.0
30038,2015-01-16 13:00:00,19.0
30039,2015-01-16 13:15:00,13.0
279,2015-01-16 13:30:00,7.0
30041,2015-01-16 13:45:00,13.0
280,2015-01-16 14:00:00,10.0
281,2015-01-16 14:15:00,9.0
282,2015-01-16 14:30:00,16.0
30043,2015-01-16 14:45:00,12.0
30044,2015-01-16 15:00:00,16.0
30045,2015-01-16 15:15:00,8.0
30046,2015-01-16 15:30:00,10.0
30047,2015-01-16 15:45:00,10.0
30048,2015-01-16 16:00:00,8.0
30049,2015-01-16 16:15:00,7.0
30050,2015-01-16 16:30:00,9.0
30051,2015-01-16 16:45:00,8.0
30052,2015-01-16 17:00:00,7.0
30053,2015-01-16 17:15:00,8.0
30054,2015-01-16 17:30:00,6.0
30055,2015-01-16 17:45:00,11.0
29957,2015-01-16 18:00:00,3.0
283,2015-01-16 18:15:00,2.0
284,2015-01-16 18:30:00,13.0
285,2015-01-16 18:45:00,10.0
286,2015-01-16 19:00:00,9.0
287,2015-01-16 19:15:00,10.0
288,2015-01-16 19:30:00,12.0
289,2015-01-16 19:45:00,10.0
290,2015-01-16 20:00:00,16.0
291,2015-01-16 20:15:00,18.0
292,2015-01-16 20:30:00,13.0
293,2015-01-16 20:45:00,16.0
294,2015-01-16 21:00:00,12.0
295,2015-01-16 21:15:00,10.0
29961,2015-01-16 22:00:00,6.0
29962,2015-01-16 23:00:00,7.0
30071,2015-01-17 10:00:00,4.0
30072,2015-01-17 10:15:00,11.0
30073,2015-01-17 10:30:00,14.0
30074,2015-01-17 10:45:00,15.0
296,2015-01-17 11:00:00,6.0
297,2015-01-17 11:15:00,9.0
30077,2015-01-17 11:30:00,13.0
30078,2015-01-17 11:45:00,18.0
298,2015-01-17 12:00:00,9.0
299,2015-01-17 12:15:00,13.0
300,2015-01-17 12:30:00,13.0
301,2015-01-17 12:45:00,13.0
302,2015-01-17 13:00:00,15.0
303,2015-01-17 13:15:00,3.0
304,2015-01-17 13:30:00,14.0
305,2015-01-17 13:45:00,4.0
306,2015-01-17 14:00:00,9.0
307,2015-01-17 14:15:00,12.0
308,2015-01-17 14:30:00,13.0
30089,2015-01-17 14:45:00,9.0
309,2015-01-17 15:00:00,5.0
310,2015-01-17 15:15:00,1.0
30092,2015-01-17 15:30:00,8.0
30093,2015-01-17 15:45:00,6.0
30094,2015-01-17 16:00:00,8.0
30095,2015-01-17 16:15:00,12.0
30096,2015-01-17 16:30:00,7.0
30097,2015-01-17 16:45:00,5.0
30098,2015-01-17 17:00:00,7.0
30099,2015-01-17 17:15:00,11.0
30100,2015-01-17 17:30:00,14.0
30101,2015-01-17 17:45:00,3.0
29983,2015-01-17 18:00:00,4.0
30103,2015-01-17 18:15:00,7.0
