datetime,store,weekday,sales,products_sold,clients_that_bought,year,month,day,halfhour
2020-05-11 16:30:00,290,Monday,1987.15,574,42,2020,5,11,33
2020-05-11 17:00:00,290,Monday,2371.52,542,30,2020,5,11,34
2020-05-11 17:30:00,290,Monday,2158.96,505,35,2020,5,11,35
2020-05-11 18:00:00,290,Monday,1579.37,426,33,2020,5,11,36
2020-05-11 18:30:00,290,Monday,1188.36,316,34,2020,5,11,37
2020-05-11 19:00:00,290,Monday,1402.99,368,27,2020,5,11,38
2020-05-11 19:30:00,290,Monday,1166.53,244,17,2020,5,11,39
2020-05-11 20:00:00,290,Monday,875.2800300000001,195,13,2020,5,11,40
2020-05-11 20:30:00,290,Monday,275.29999,70,13,2020,5,11,41
2020-05-12 08:00:00,290,Tuesday,87.989998,12,5,2020,5,12,16
2020-05-12 08:30:00,290,Tuesday,853.1699800000001,248,11,2020,5,12,17
2020-05-12 09:00:00,290,Tuesday,341.51001,72,7,2020,5,12,18
2020-05-12 09:30:00,290,Tuesday,1145.86,257,13,2020,5,12,19
2020-05-12 10:00:00,290,Tuesday,943.0999800000001,206,24,2020,5,12,20
2020-05-12 10:30:00,290,Tuesday,1400.75,348,26,2020,5,12,21
2020-05-12 11:00:00,290,Tuesday,1562.37,373,25,2020,5,12,22
2020-05-12 11:30:00,290,Tuesday,1736.98,435,27,2020,5,12,23
2020-05-12 12:00:00,290,Tuesday,1625.91,385,33,2020,5,12,24
2020-05-12 12:30:00,290,Tuesday,1874.92,489,29,2020,5,12,25
2020-05-12 13:00:00,290,Tuesday,2693.96,739,30,2020,5,12,26
2020-05-12 13:30:00,290,Tuesday,1706.3,468,32,2020,5,12,27
2020-05-12 14:00:00,290,Tuesday,2890.8799,692,34,2020,5,12,28
2020-05-12 14:30:00,290,Tuesday,1448.8199,359,24,2020,5,12,29
2020-05-12 15:00:00,290,Tuesday,1218.72,313,35,2020,5,12,30
2020-05-12 15:30:00,290,Tuesday,1443.1801,344,25,2020,5,12,31
2020-05-12 16:00:00,290,Tuesday,1961.6801,411,30,2020,5,12,32
2020-05-12 16:30:00,290,Tuesday,2333.3301,597,46,2020,5,12,33
2020-05-12 17:00:00,290,Tuesday,3291.5,868,43,2020,5,12,34
2020-05-12 17:30:00,290,Tuesday,2251.98,632,40,2020,5,12,35
